PriceUpdateDate,ItemCode,ItemType,ItemName,ManufactureName,ManufactureCountry,ManufactureItemDescription,UnitQty,Quantity,UnitMeasure,BisWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,itemStatus,LastUpdateDate,LastUpdateTime
2021/08/09 00:03,4,0,משלוח מוסדות,שונות /שרות,,,"י""ח",1,,0,1,23,23,0,1,,
2023/01/18 11:03,121,0,פלפל יבש חריף/מתוק,שלי מוצרי מזון ותבלינים***,,,"י""ח",1,,0,1,10.90,10.90,0,1,,
2022/09/05 17:54,151,0,עוף טחון טרי  {קצביה]**,"ח.י. מעדני גורמה בע""מ",,,"ק""ג",1,,1,1,49.90,49.90,1,1,,
2021/11/16 13:59,284,0,דג בורי L טרי,"ח.י. מעדני גורמה בע""מ",,,"ק""ג",1,,1,1,49.90,49.90,1,1,,
2022/02/08 09:10,288,0,דג דניס S טרי,"ח.י. מעדני גורמה בע""מ",,,"ק""ג",1,,1,1,59.90,59.90,1,1,,
2023/01/18 10:59,289,0,דג קרפיון מצונן טרי,"ח.י. מעדני גורמה בע""מ",,,"ק""ג",1,,1,1,29.90,29.90,0,1,,
2023/08/07 15:09,302,0,דג אמנון L טרי,"ח.י. מעדני גורמה בע""מ",,,"ק""ג",1,,1,1,29.90,29.90,1,1,,
2023/08/13 08:55,327,0,דג ברמונדי טרי,"ח.י. מעדני גורמה בע""מ",,,"ק""ג",1,,1,1,59.90,59.90,1,1,,
2021/08/08 23:59,332,0,דג פילה דניס טרי כ-120גר,"ח.י. מעדני גורמה בע""מ",,,"י""ח",1,,0,1,17.90,17.90,1,1,,
2022/02/08 09:07,350,0,דג פילה מושט טרי כ-100גר,"ח.י. מעדני גורמה בע""מ",,,"י""ח",1,,0,1,14.90,14.90,1,1,,
2023/03/27 16:06,402,0,דג סלמון שלם טרי.,"ח.י. מעדני גורמה בע""מ",,,"ק""ג",1,,1,1,99.90,99.90,1,1,,
2023/06/26 15:20,403,0,דג פילה סלמון טרי,"ח.י. מעדני גורמה בע""מ",,,"ק""ג",1,,1,1,119.90,119.90,1,1,,
2022/03/20 10:34,446,0,פטריות תפזורת שקיל,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,39.90,39.90,1,1,,
2021/08/09 06:31,492,0,פילה לברק כ120גר,"ח.י. מעדני גורמה בע""מ",,,"י""ח",1,,0,1,17.90,17.90,1,1,,
2023/08/21 12:14,505,0,אבוקדו,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,16.90,16.90,1,1,,
2023/08/20 17:02,506,0,אבטיח,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,4.90,4.90,1,1,,
2023/08/22 10:58,507,0,אפרסק מובחר,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,10.90,10.90,1,1,,
2022/11/27 11:49,510,0,אגסים,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,12.90,12.90,1,1,,
2023/08/21 12:17,512,0,אגס חום,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,,1,1,14.90,14.90,0,1,,
2023/07/27 12:14,522,0,אננס.,*347650,,,"ק""ג",1,,1,1,19.90,19.90,0,1,,
2023/08/23 01:21,530,0,בננה.,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,8.90,8.90,0,1,,
2023/07/03 14:19,535,0,לימון,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,8.90,8.90,1,1,,
2023/08/21 12:14,536,0,פמלה,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,6.90,6.90,0,1,,
2023/08/20 17:02,540,0,מלון,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,7.90,7.90,1,1,,
2023/08/23 01:21,543,0,מנגו,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,14.90,14.90,1,1,,
2023/07/17 17:53,545,0,נקטרינה,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,18.90,18.90,0,1,,
2023/08/21 14:07,553,0,ענב אדום,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,26.90,26.90,0,1,,
2023/08/23 01:21,554,0,ענבים לבן .,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,14.90,14.90,0,1,,
2023/08/22 10:58,564,0,רימונים,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,7.90,7.90,1,1,,
2023/07/31 19:09,566,0,שזיף אדום.,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,19.90,19.90,1,1,,
2023/05/31 11:00,575,0,תפוז תבורי.,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,6.90,6.90,0,1,,
2023/08/20 13:29,583,0,תפוח סמיט ירוק,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,8.90,8.90,1,1,,
2023/08/23 01:21,585,0,תפוח חרמון,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,11.90,11.90,0,1,,
2022/03/20 10:37,586,0,תפוז ברשת,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,,1,1,4.90,4.90,0,1,,
2021/08/09 00:08,588,0,תפוח גלה,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,13.90,13.90,1,1,,
2023/08/23 01:21,590,0,תפוח זהוב.,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,11.90,11.90,0,1,,
2023/08/14 10:19,594,0,סברס,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,20.90,20.90,1,1,,
2022/09/05 15:18,595,0,תמר צהוב,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,9.90,9.90,1,1,,
2023/08/23 01:21,605,0,בצל יבש,ביכורי השדה צפון 1994 ג.ד. בעמ,,,"ק""ג",1,"ק""ג",1,1,6.90,6.90,1,1,,
